Planet Transit Midpoint Value,Planet Transit Midpoint Upper Unc,Planet Transit Midpoint Lower Unc,Planet Transit Midpoint Limit Flag,Planet Orbital Period Value,Planet Orbital Period Upper Unc,Planet Orbital Period Lower Unc,Planet Orbital Period Limit Flag,Planet Transit Duration Value,Planet Transit Duration Upper Unc,Planet Transit Duration Lower Unc,Planet Transit Duration Limit Flag,Planet Transit Depth Value,Planet Transit Depth Upper Unc,Planet Transit Depth Lower Unc,Planet Transit Depth Limit Flag,Planet Radius Value,Planet Radius Value Upper Unc,Planet Radius Value Lower Unc,Planet Radius Limit Flag,Planet Insolation Value,Planet Equilibrium Temperature Value,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,TESS Magnitude Limit Flag,Stellar Distance,Stellar Distance Upper Unc,Stellar Distance Lower Unc,Stellar Distance Limit Flag,Stellar Effective Temperature Value,Stellar Effective Termperature Upper Unc,Stellar Effective Termperature Lower Unc,Stellar Effective Temperature Limit Flag,Stellar log(g) Value,Stellar log(g) Upper Unc,Stellar log(g) Lower Unc,Stellar log(g) Limit Flag,Stellar Radius Value,Stellar Radius Upper Unc,Stellar Radius Lower Unc,Stellar Radius Limit Flag,Label
2459229.630046,0.001657,-0.001657,0,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.31958790000000004,-0.31958790000000004,0,656.8860989,37.778209999999994,-37.778209999999994,0,5.8181633,1.9105465,-1.9105465,0,22601.9485814,3127.2040524,9.604,0.013000000000000001,-0.013000000000000001,0,485.735,11.9515,-11.9515,0,10249.0,264.7,-264.7,0,4.19,0.07,-0.07,0,2.16986,0.0725729,-0.0725729,0,0
2459250.064549,0.001925,-0.001925,0,1.931671,7.699999999999999e-06,-7.699999999999999e-06,0,3.18,0.173,-0.173,0,1030.0,207.83,-207.83,0,10.3168,3.2145900000000003,-3.2145900000000003,0,42432.8,3998.0,9.42344,0.006,-0.006,0,295.862,5.91,-5.91,0,7070.0,126.4,-126.4,0,4.03,0.09,-0.09,0,2.01,0.09,-0.09,0,0
2459229.549032,0.002365,-0.002365,0,3.5775748,0.0006687,-0.0006687,0,2.9347084999999997,0.3439169,-0.3439169,0,501.6028767,35.86739,-35.86739,0,5.050111,1.3455745000000001,-1.3455745000000001,0,8092.9691359,2419.0604472,9.1355,0.006,-0.006,0,356.437,4.6175,-4.6175,0,9219.0,171.1,-171.1,0,4.14,0.07,-0.07,0,2.1504,0.0604674,-0.0604674,0,0
2459247.930695,0.0013,-0.0013,0,6.998920599999999,1.3699999999999998e-05,-1.3699999999999998e-05,0,3.953,0.437,-0.437,0,2840.0,0.9436180000000001,-0.9436180000000001,0,14.7752,0.764705,-0.764705,0,448.744,1282.0,8.87759,0.006,-0.006,0,283.291,3.0025,-3.0025,0,6596.0,139.2,-139.2,0,3.71,0.09,-0.09,0,2.7,0.13,-0.13,0,0
2459231.130844,0.003123,-0.003123,0,2.4696957999999998,0.000579,-0.000579,0,2.3244437000000002,0.4268169,-0.4268169,0,233.4371605,24.522572,-24.522572,0,1.4549383999999999,1.9059831000000003,-1.9059831000000003,0,555.1966304,1238.0308162000001,8.2388,0.006,-0.006,0,52.62,0.0793,-0.0793,0,5413.7,132.8,-132.8,0,4.46,0.09,-0.09,0,0.941335,0.0546131,-0.0546131,0,0
2459252.509595,0.00036899999999999997,-0.00036899999999999997,0,0.884182,7e-07,-7e-07,0,1.621,0.035,-0.035,0,1890.0,311.366,-311.366,0,24.8132,5.41599,-5.41599,0,112144.0,5098.0,8.127180000000001,0.006,-0.006,0,295.959,11.315,-11.315,0,8928.0,128.7,-128.7,0,3.92,0.08,-0.08,0,2.72,0.13,-0.13,0,0
2459238.831138,0.0067150000000000005,-0.0067150000000000005,0,12.688941499999999,0.0095088,-0.0095088,0,7.920100099999999,0.5393766,-0.5393766,0,3232.8527885000003,235.25328,-235.25328,0,14.0608342,15.241591,-15.241591,0,425.1594177,1158.1310368,10.6257,0.006,-0.006,0,368.646,3.784,-3.784,0,7601.0,135.8,-135.8,0,4.31,0.08,-0.08,0,1.53641,0.047979900000000006,-0.047979900000000006,0,0
2458518.96536,0.00137,-0.00137,0,1.10422,0.00013000000000000002,-0.00013000000000000002,0,2.37,0.062,-0.062,0,14177.7,843.788,-843.788,0,21.0448,5.22012,-5.22012,0,39459.3,3926.0,10.6019,0.006,-0.006,0,406.997,4.7245,-4.7245,0,6995.2,157.0,-157.0,0,4.07,0.55,-0.55,0,1.61,0.07,-0.07,0,0
2458492.78078,0.00073,-0.00073,0,4.9591199999999995,0.00016,-0.00016,0,2.509,0.13,-0.13,0,7440.0,197.962,-197.962,0,22.9123,3.28055,-3.28055,0,673.55,1419.0,10.6254,0.006,-0.006,0,360.541,2.9645,-2.9645,0,5889.0,124.3,-124.3,0,3.86,0.07,-0.07,0,2.0,0.09,-0.09,0,0
2459232.446777,0.00021600000000000002,-0.00021600000000000002,0,5.2340964,2.6600000000000003e-05,-2.6600000000000003e-05,0,3.6909047,0.0163885,-0.0163885,0,20542.293671400002,71.021614,-71.021614,0,24.087882,0.7445164000000001,-0.7445164000000001,0,1453.6680068,1574.8386240999998,10.6348,0.006,-0.006,0,399.544,4.1635,-4.1635,0,7645.0,134.4,-134.4,0,4.3,0.08,-0.08,0,1.56203,0.048125699999999993,-0.048125699999999993,0,0
